"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","7421","✅ Sayfa URL'si doğru mu?","chromium","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","8988","❌ Yanlış title kontrolü — FAIL görmek için","ipad mini","2026-03-24","failed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","28856","✅ Google arama kutusu görünüyor mu?","firefox","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","9566","✅ Google arama kutusu görünüyor mu?","ipad mini","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","3856","✅ Sayfa 3 saniyede yükleniyor mu?","batch366","2026-03-24","passed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","3657","✅ Google arama kutusu görünüyor mu?","batch366","2026-03-24","passed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","3802","✅ Google ana sayfa aciliyor mu?","iphone 13","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","5175","❌ Var olmayan element — FAIL görmek için","galaxy s8","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","5188","❌ Olmayan butona tıklama — FAIL görmek için","firefox","2026-03-24","failed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","13420","✅ Arama yapılabiliyor mu?","ipad mini","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","7009","✅ Google ana sayfa aciliyor mu?","chromium","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","2576","✅ Sayfa URL'si doğru mu?","ipad mini","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","17060","✅ Sayfa 3 saniyede yükleniyor mu?","firefox","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","10936","❌ Yanlış title kontrolü — FAIL görmek için","batch366","2026-03-24","failed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","10","✅ Sayfa başlığı boş değil mi?","firefox","2026-03-24","failed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","1886","✅ Sayfa 3 saniyede yükleniyor mu?","iphone 13","2026-03-24","passed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","7480","❌ Var olmayan element — FAIL görmek için","chromium","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","1","✅ Sayfa URL'si doğru mu?","webkit","2026-03-24","skipped","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","2931","✅ Sayfa 3 saniyede yükleniyor mu?","chromium","2026-03-24","passed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","4930","❌ Olmayan butona tıklama — FAIL görmek için","galaxy s8","2026-03-24","failed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","5384","❌ Olmayan butona tıklama — FAIL görmek için","ipad mini","2026-03-24","failed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","30540","✅ Sayfa URL'si doğru mu?","firefox","2026-03-24","passed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","5998","❌ Olmayan butona tıklama — FAIL görmek için","batch366","2026-03-24","failed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","8006","❌ Olmayan butona tıklama — FAIL görmek için","chromium","2026-03-24","failed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","13983","✅ Arama yapılabiliyor mu?","chromium","2026-03-24","failed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","12642","❌ Yanlış title kontrolü — FAIL görmek için","galaxy s8","2026-03-24","failed","2026-03-24","Smoke Tests","day26\01-allure-report.spec.ts","",""
"","5115","✅ Google logosu görünüyor mu?","firefox","2026-03-24","passed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","1915","✅ Sayfa 3 saniyede yükleniyor mu?","ipad mini","2026-03-24","passed","2026-03-24","Regression Tests","day26\01-allure-report.spec.ts","",""
"","2016","✅ Sayfa başlığı boş değil mi?","ipad mini","2026-03-24","passed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
"","2567","✅ Sayfa başlığı boş değil mi?","chromium","2026-03-24","passed","2026-03-24","UI Tests","day26\01-allure-report.spec.ts","",""
